name,lat,long,Score
Simply Wholesome,33.988493,-118.354677,63.96935572
Lone Star Steakhouse,43.514395,-96.748274,41.9042129
P.f. Chang's,34.1742659,-118.8454092,40.14036567
Nirvana Grille Restaurant & Catering,33.544475,-117.783354,25.15395996
Four'n 20 Restaurant Grill,34.156557,-118.396879,93.3003569
Advance Services,41.408763,-92.951116,14.37559368
Simple Simon's Pizza,33.932001,-85.6128,86.34053147
Thai Smile,33.832558,-116.546781,4.015693779
Spicy Thai Restaurant,34.679429,-118.156854,24.63330496
Native Foods,33.67745,-117.886985,36.07732817
Novel Cafe,34.059605,-118.446353,47.24797434
Las Galas,34.049381,-118.239547,84.51900786
Clark's Nutrition & Fitness,33.978505,-117.378618,26.84858104
Natures Health Food & Cafe,34.12018,-116.422305,71.75722495
Daeho Korean Restaurant,34.887691,-116.994653,55.88243943
Claim Jumper,33.595352,-117.679546,50.78340695
Racanelli's Pizza,38.765575,-90.6344,39.34512282
Belacan Grill,33.759713,-117.827336,32.31717265
Jack N' Jill's Too,34.073494,-118.383061,24.30347693
M Cafe De Chaya,34.083737,-118.365899,80.1101072
Meridian Cafe,38.259367,-85.663145,71.30386263
North End Cafe,38.25745,-85.718642,32.87634808
Cross Culture,39.897982,-75.03196,83.02174785
Cafe Metro,40.893507,-74.476062,72.5880207
Loving Hut,40.878057,-74.650255,36.62827663
Tijuana Flats,30.40985,-86.603741,1.657075711
Blue Bend Photography,35.594431,-82.555785,24.9332502
Congregation Beit Tefilah,36.06205,-86.922245,65.75408802
Tcby,43.189639,-86.263488,20.12401263
Grand Central Deli & Spirits,35.227737,-80.842601,76.97156448
Couva Calypso Vandy,36.147921,-86.808154,64.02421561
Phat Bites Cafe and Coffee Shop,36.15083,-86.665679,51.94285656
Meridian Cafe,38.252089,-85.65289,81.20592129
Four 'n 20 Restaurant Grill,34.165476,-118.4487,41.5046326
Manee Thai,38.595555,-90.521464,84.50670372
Taco John's,42.43525836,-96.36619719,19.86765618
Valentino's,40.785095,-96.654456,61.0318746
Bikeway,41.589988,-73.907815,50.56596163
Cinnamon Indian Cuisine,41.890958,-73.909088,88.11905785
Souper Salad Restaurants,35.130916,-80.712255,15.63242699
Namaste India,35.194894,-80.767443,67.27870656
Cafe Chaat,37.783421,-122.398686,80.31283744
Tupelo Honey Cafe,35.789626,-78.663082,39.31089324
Cuisine Malaya,35.215306,-80.828476,91.39954451
Baoding,35.147361,-80.833041,41.12504917
